community_title,community_content,status,post_status,member_id
"행안부, '지역 특성 살리기' 사업 공모…총 140억원 지원","행정안전부[연합뉴스 자료사진]    (서울=연합뉴스) 이상서 기자 = 행정안전부는 17일부터 내달 28일까지 전국 지방자치단체를 대상으로 140억원 규모의 '지역 특성 살리기' 사업을 공모한다고 16일 밝혔다.    이번 사업은 지역 특성화를 계획성 있게 추진하는 지자체를 집중적으로 지원하기 위해 기획됐다.    총 140억원 규모로 진행되며 거점시설, 로컬디자인, 특화상권 등 3개 분야로 나뉘어 추진된다.    지자체 1곳이 3개 분야에 모두 참여할 수 있으며, 지자체당 최대 14억원(특별교부세 기준)을 지원받을 수 있다.    전국 지자체를 대상으로 진행되지만, 지방소멸 극복이라는 사업 취지를 감안해 수도권의 경우 행안부 장관이 지정·고시한 인구감소지역 및 인구감소 관심 지역에 포함된 곳만 허용된다.    학계 등 전문가로 구성된 심사위원회는 지역 고유성, 사업계획, 타당성 및 지속가능성 등을 기준으로 서면심사, 현장실사, 발표심사를 거친 뒤 7월 말에 최종 선정한다.    행안부는 선정된 지자체가 타지역과 차별화되는 중장기 지역 발전계획을 마련하고, 시범사업을 추진할 수 있도록 지원할 계획이다.    자세한 내용은 행안부 사이트에서 확인할 수 있다.    shlamazel@yna.co.kr",0,3,2
"윤석열 정부 출범 2주년, 공정거래 정책 성과와 과제",(세종=연합뉴스) 배재만 기자 = 한기정 공정거래위원장이 16일 오전 정부세종청사에서 열린 출입 기자 간담회에서 윤석열 정부 출범 2주년을 맞아 공정거래 정책 성과와 과제를 설명하고 있다. 2024.5.16    scoop@yna.co.kr,0,3,2
'유해물질 범벅' 어린이·생활용품 해외직구 반입 원천 차단,"화재·감전 우려 큰 미승인 전기제품도 통관서 걸러낸다""앱·홈페이지서 'KC 인증' 여부 확인한 뒤 구매해야""



서울시, 중국 플랫폼 중심 해외 직구 상품 안전성 검사(서울=연합뉴스) 최윤선 기자 = 중국 온라인 쇼핑 플랫폼에서 판매하는 어린이용품에서 국내 기준치의 최대 56배에 달하는 발암물질이 검출됐다. 서울시는 시민 건강과 안전을 위협하는 해외 직구(직접구매) 상품 가운데 특히 '알테쉬'(알리·테무·쉬인)로 불리는 중국 플랫폼을 중심으로 상시 안전성 검사에 나선다고 지난달 8일 밝혔다. 사진은 해외직구 제품 안전성 조사에서 유해 물질이 검출된 제품 일부. 2024.4.8 ysc@yna.co.kr(서울=연합뉴스) 김동규 기자 = 정부가 다음 달부터 안전 인증을 받지 않은 제품의 해외 직접구매(직구)를 원천 차단하기로 하면서 각종 어린이·생활용품의 구매에 적지 않은 영향을 미칠 전망이다.    정부가 16일 발표한 직구 금지 대상에는 KC 인증이 없는 어린이 제품 34종과 전기·생활용품 34종 등이 포함됐다.    산업통상자원부 국가기술표준원(국표원)에 따르면 정부는 특히 어린이 제품에 대해서는 사실상 모든 제품을 해외 직구 차단 대상에 올려 유해물질과 안전성 확인에 나서기로 했다.    현재 품목별 안전기준이 마련된 어린이 제품 34종 외에도 신제품 등의 이유로 안전기준이 없는 어린이 제품도 모두 공통 안전기준을 적용하겠다는 것이 정부 방침이다.    이날 직구 차단 대상 명단에 오른 어린이 제품 34종은 의류, 가구, 완구, 학용품, 놀이기구 등 어린이들이 사용하는 제품을 모두 망라한다.    구체적으로 유아용·아동용 섬유제품(의류 등)을 비롯해 유아·어린이용 의자, 침대, 가구, 유모차, 보행기, 자동차용 어린이 보호장치 등이 포함됐다.    물안경과 구명복, 튜브 등 어린이용 물놀이 기구와 킥보드, 스케이트보드, 인라인 롤러스케이트, 롤러스케이트, 자전거 등 어린이용 스포츠용품 등도 규제 대상이다.    지난 2월 국표원 조사 당시 일부 중국산 제품에서 기준치의 8천배가 넘는 카드뮴이 검출된 어린이용 가죽구두 등 가죽제품과 어린이용 안경테 및 선글라스, 우산·양산, 어린이용 장신구 등도 안전 인증 점검 대상 명단에 올랐다.    생활용품 34종도 KC 인증 여부 대상으로 지정됐다.    미인증 제품 사용 시 화재나 감전 등 안전사고 발생 우려가 큰 전기·생활용품 가운데 신고·승인을 받지 않은 제품의 해외 직구가 금지된다.    구체적으로 보조배터리 등 전기 충전기와 전선·케이블 및 코드류, 전기 온수매트, 전기정수기, 자동차용 재생타이어, 가스라이터, 비비탄총 등이 명단에 올랐다.



[그래픽] 해외직구 소비자 안전 강화 방안(서울=연합뉴스) 이재윤 기자 = 정부는 16일 인천공항본부세관에서 한덕수 국무총리 주재로 국정현안관계장관회의를 열어 '해외 직구 급증에 따른 소비자 안전 강화 및 기업 경쟁력 제고 방안'을 발표했다.    앞으로는 13세 이하 어린이가 사용하는 유모차와 장난감 등 어린이용품 34개 품목, 미인증 제품을 쓰면 화재·감전 우려가 있는 전기온수매트 등 전기·생활용품 34개 품목은 KC 인증이 없는 경우 해외 직구가 원천 금지된다.    yoon2@yna.co.kr    X(트위터) @yonhap_graphics  페이스북 tuney.kr/LeYN1    정부는 해외 직구 원천 차단 대상이 되는 제품 가운데 KC 인증이 없거나 신고·승인을 받지 않은 제품을 통관 과정에서 걸러낸다는 방침이다.    이를 위해 제품 차단에 필요한 모델·규격 등을 기재하도록 통관 서식을 개선하고, 통관심사 인력을 보강하는 등 제도 개선에 나서겠다고 밝혔다.    아울러 유통 플랫폼 앱이나 홈페이지에서 KC 미인증 제품이 삭제되도록 요청하는 등 소비자의 제품 선택 단계에서 안전이 검증되지 않은 제품이 유통 플랫폼에 노출되지 않도록 조치를 강화할 방침이다.    국표원 관계자는 ""정부는 어린이 등 국민 안전을 지키기 위해 더욱 촘촘한 안전 기준을 만들고 적용해 나가겠다""면서 ""물품 구매 시 반드시 KC 인증 여부를 확인해 달라""고 당부했다.    dkkim@yna.co.kr",0,3,2
'기타소득'으로 강의료 신고했다가 가산세 부담…왜?,"전문강사의 계속·반복적 강의료는 사업소득…종합소득 신고 Q&A



세금신고 (PG)[김민아 제작] 일러스트    (세종=연합뉴스) 민경락 기자 = 전문 강사 A씨는 종합소득세 신고를 할 때 여러 업체에서 받은 강의료 소득을 모두 '기타소득'으로 신고했다.     강의료도 20%의 기타소득 세율로 원천 징수한 나머지를 받은 터였다. '기타소득'은 대회 상금이나 복권 당첨금처럼 일시적이고 우발적으로 발생하는 소득을 뜻한다.    하지만 A씨는 종합소득세를 신고할 때 강의료 소득을 사업소득으로 변경해 신고해야 한다는 국세청 안내문을 받았다. 고용 관계 없이 계속·반복적으로 받은 강의료는 사업소득으로 봐야 한다는 것이었다.    결국 A씨는 사업소득으로 종합소득세를 수정 신고하고 과소신고·납부지연 가산세도 내야 했다.    국세청은 5월 종합소득세 신고 때 납세자들이 놓치기 쉬운 내용을 정리한 안내문을 모바일로 발송했다고 16일 밝혔다.    안내문에는 A씨 사례처럼 사업성 있는 소득이나 근로소득을 기타소득으로 잘못 신고해 추징한 사례 등과 주의사항이 포함됐다.    법인 임원 B씨는 2022년 퇴직한 뒤 고문으로 재취업했다. 그는 매달 회사로부터 고문료를 받았고 회사는 고문료를 지급하면서 이를 B씨의 기타소득으로 보고 원천징수했다.     B씨는 고문료를 기타소득으로 보고 종합소득을 신고했다. 하지만 근로소득으로 종합소득세를 수정 신고하고 가산세도 납부해야 했다. 근로계약서를 작성한 뒤 용역을 제공하고 받는 대가는 근로소득에 해당한다는 것이 국세청의 설명이다.    통상 기타소득은 소득에서 공제하는 필요경비율이 상대적으로 높아 근로·사업소득에 비해 세 부담이 적은 편이다.    인건비 원천 징수를 누락해 수정 신고를 하는 사례도 있다.    제조업자 C는 외국인 근로자와 신용불량자 등을 고용하고 이들에게 임금을 지급했다.    임금은 모두 현금으로 지급했다. 이들이 신분이 드러날 것을 우려해 계좌번호 노출 등을 꺼렸기 때문이다. 인건비는 모두 급여가 아닌 복리후생비·여비교통비 항목으로 회계 처리됐다.    국세청은 직원 수에 비해 복리후생비·여비교통비가 과다하다고 보고 C 업체에 해명 안내문을 발송했다.    결국 C업체는 이들에게 급여를 지급한 내용을 반영해 근로소득세를 수정 신고해야 했다.    국세청 관계자는 ""신고도움 서비스에서는 사전 안내자료뿐만 아니라 성실신고에 도움이 되는 모든 정보를 납세자에게 제공하고 있다""고 말했다.    rock@yna.co.kr",0,3,2
유료방송 가입자 첫 감소…IPTV는 3년째 증가,"사업자별 가입자는 KT·SKB·LGU+ 순…기술중립 도입 SKB '선전'



매체별 가입자 수 추이(단위: 단말장치·단자)[과기정통부 제공. 재판매 및 DB 금지](서울=연합뉴스) 이정현 기자 = 국내 유료방송 가입자 수가 지난해 하반기 처음으로 감소세로 전환했다.    과학기술정보통신부는 2023년도 하반기 유료방송 가입자 수가 3천631만106명으로 지난해 상반기보다 3만7천389명(0.1%) 감소했다고 16일 밝혔다.    2015년 하반기 유료방송 가입자 수를 조사한 이래 처음으로 가입자 수가 감소한 것이다.    매체별로 보면 IPTV 가입자 수는 최근 3년간 꾸준히 증가해 지난해 하반기 기준 2천92만5천902명으로 전체의 57.63%를 차지했다. 지난해 상반기보다 0.54% 늘어났으나 증가세는 갈수록 둔화하는 흐름이다.    종합유선방송(SO) 가입자 수는 1천254만1천500명(34.54%), 위성방송은 284만2천704명(7.83%)으로 뒤를 이었다. 지난해 상반기보다 각각 0.71%, 2.04% 감소했다.    점유율도 IPTV는 직전 반기보다 0.36%포인트 확대됐지만, SO(-0.21%포인트)와 위성방송(-0.16%포인트)은 감소 추세를 이어갔다.    사업자별 가입자 수는 KT 882만7천392명(24.31%), SK브로드밴드 668만4천857명(18.41%), LG유플러스 541만3천653명(14.91%) 등 순으로 IPTV가 강세를 보였다. SO인 LG헬로비전(361만9천909명·9.97%)과 위성방송인 KT스카이라이프(284만2천704명·7.83%) 등이 뒤를 이었다.    한편, 지난해 5월 SK브로드밴드가 처음으로 시작한 기술중립 서비스 가입자는 지난해 12월을 기준으로 7만7천825명으로 집계됐다.    기술중립 서비스는 IPTV와 케이블TV 등 유료방송사업자 간 전송 방식 구분을 없앤 것을 뜻한다.    유료방송 사업자 중 가장 먼저 기술중립 서비스를 도입한 SK브로드밴드는 지난해 상반기 대비 가입자 수와 점유율이 복수종합유선방송(MSO) 중에서 유일하게 증가했다. 가입자는 7천314명, 점유율은 0.03%포인트 늘었다.    과기정통부는 고품질의 기술중립 서비스가 확산할 수 있도록 중소 SO들을 대상으로 기술중립 서비스를 위한 셋톱박스 개발을 지원하고 있으며 향후 지원 대상을 더 확대할 계획이라고 밝혔다.    lisa@yna.co.kr",0,3,2
Corporate retirement pension funds grow nearly 14 pct on-year in 2023,"retirement pension-2023 tally Corporate retirement pension funds grow nearly 14 pct on-year in 2023   SEOUL, May 16 (Yonhap) -- Corporate retirement pension funds grew nearly 14 percent from a year earlier in 2023 and their return on investment also rose, data showed Thursday.   The total amount of corporate retirement pension funds under management came to 382.4 trillion won (US$282.6 billion) as of end-2023, up 46.5 trillion won, or 13.8 percent, from a year before, according to the data from the Financial Supervisory Service.   The funds recorded an average return of 5.26 percent on their investments last year, up 5.24 percentage points from 0.02 percent in 2022.   The funds' average return on investment for the past five years came to 2.35 percent as of end-2023, up 0.84 percentage point from a year earlier, with the 10-year average also climbing to 2.07 percent from 1.93 percent over the cited period.   The corporate pension program was introduced in 2005, allowing employees to receive their pension in one lump-sum payment or monthly installments after their retirement.   In 2023, out of some 529,000 people who received or began receiving payments from their corporate pension program, 10.4 percent chose monthly payments over a one-time payment, breaching the 10 percent mark for the first time, according to the financial regulator.    The rate has been on a steady rise from 4.3 percent in 2021 to 7.1 percent the following year.   The corporate pension funds are separate from the national pension funds, which amounted to 1,035 trillion won as of end-2023.   As of end-2021, some 425,000 businesses had adopted the retirement pension program, offering a private pension plan to about 6.8 million workers in addition to their national pension plan.



   bdk@yna.co.kr(END)",0,3,2
"최저임금 못 받은 근로자, 2년만에 다시 300만명 넘어","경총, 작년 최저임금 분석…미만율도 1%포인트 오른 13.7%



최저임금위 내주 전원회의서 내년 임금 본격 논의[연합뉴스 자료사진](서울=연합뉴스) 한상용 기자 = 국내 임금근로자 가운데 최저임금을 받지 못한 근로자가 2년 만에 다시 300만명을 넘은 것으로 나타났다.    한국경영자총협회(경총)는 통계청 원자료를 분석해 작성한 '2023년 최저임금 미만율 분석' 보고서에서 지난해 법정 최저임금인 시급 9천620원을 받지 못하는 근로자 수가 301만1천명으로 집계됐다고 16일 밝혔다.    지난 2022년 최저임금 미만 근로자 275만6천명과 비교해 25만5천명 증가한 수치다.    임금근로자 중 최저임금을 받지 못한 근로자 비율을 뜻하는 최저임금 미만율도 2022년 12.7%에서 작년 13.7%로 1%포인트 상승했다.    최저임금액 미만 근로자 수는 2018∼2019년 두 해 동안 29.1%에 달하는 인상률 속에 2019년 338만6천명까지 치솟았다.    이후 2020년과 2021년 각각 319만명, 321만5천명을 기록하다가 2022년 275만6천명으로 300만명을 밑돌았다.    최저임금 미만율도 2019년 16.5%로 고점을 찍고 나서 3년 연속 감소세를 보이다 지난해 전년 대비 증가세로 돌아섰다.    경총은 2001년 4.3%에 불과한 최저임금 미만율이 지난해 13.7%로 상승한 것은 그간 높은 수준의 최저임금 인상률 누적으로 노동 시장의 최저임금 수용성이 저하됐기 때문으로 추정했다.    2001년 대비 작년 소비자물가지수와 명목임금이 69.8%, 159.2% 인상되는 동안 최저임금은 415.8% 상승하며 물가의 6배, 명목임금의 2.6배로 올랐다는 설명이다.



2017년 이후 최저임금액 미만 근로자 수 및 미만율 추이[경총 제공. 재판매 및 DB 금지]작년 최저임금 미만율은 업종별과 규모별로도 큰 차이를 보였다.    농림어업(43.1%)과 숙박·음식점업(37.3%) 등 일부 업종의 최저임금 미만율이 높게 나타났다. 이로 인해 업종 간 격차가 농림어업과 수도·하수·폐기업(1.9%) 간 최대 41.2%포인트까지 나기도 했다.    저출생 해소 방안 중 하나로 최저임금 구분 적용 필요성이 제기된 '돌봄 및 보건서비스 종사자'가 주로 분포된 '보건·사회복지업' 미만율은 21.7%로, 전체 평균을 웃돌았다.    또 5인 미만 사업장에서 일하는 근로자 중에서 32.7%에 해당하는 125만3천명이 최저임금액 미만 근로자로 나타났다. 이를 두고 이 규모의 사업장에서는 최저임금 수준이 사실상 수용되기 어려운 상황으로 경총은 봤다.



2023년 주요 업종별 최저임금 미만율 및 최대 격차[경총 제공. 재판매 및 DB 금지]하상우 경총 본부장은 ""작년 우리 최저임금 미만율은 13.7%로 그 자체로도 매우 높은 수준이지만 법정 유급 주휴시간까지 고려하면 24.3%까지 상승할 수 있는 것으로 추정된다""고 말했다.    하 본부장은 또 업종·규모별로 최저임금 미만율 격차가 심한 것에 대해선 ""적어도 일부 업종과 소규모 사업체에서는 현 최저임금 수준도 감내하기 힘들어하고 있다는 것을 의미한다""고 밝혔다.    gogo213@yna.co.kr",0,3,2
Money supply continues to rise in March amid restrictive policy: BOK,"money supply-March Money supply continues to rise in March amid restrictive policy: BOK   SEOUL, May 16 (Yonhap) -- South Korea's money supply continued to rise in March amid an extended tightening policy mode, central bank data showed Thursday.   The country's M2, a key gauge of the money supply, stood at 3,994 trillion won (US$2.945 trillion) in March, up 1.6 percent from a month earlier, according to the preliminary data from the Bank of Korea (BOK).   The M2 is a measure of the money supply that counts cash, demand deposits and other easily convertible financial instruments.   The central bank has been implementing its restrictive mode, as it delivered seven consecutive hikes in borrowing costs from April 2022 to January 2023 to tame soaring inflation in Asia's fourth-largest economy.   Last month, the BOK held its key interest rate steady at 3.5 percent for the 10th straight time amid still high inflation.



   sam@yna.co.kr(END)",0,3,2
통화량 10개월 연속 증가…예금 등에 자금 유입,"올해 3월 '광의 통화' M2, 전월보다 64조원↑(서울=연합뉴스) 신호경 기자 = 가계·기업의 자금이 예금 등에 대거 흘러들면서 올해 3월 통화량이 64조원 이상 또 늘었다.



통화량 10개월 연속 증가…예금 등에 자금 유입(서울=연합뉴스) 임헌정 기자. 2017.2.8 kane@yna.co.kr    한국은행이 16일 공개한 '통화 및 유동성' 통계에 따르면 지난 3월 평균 광의 통화량(M2 기준·평잔)은 3천994조원으로 2월보다 1.6%(64조2천억원) 많았다. 작년 6월 이후 10개월째 증가세다.    넓은 의미의 통화량 지표 M2에는 현금, 요구불예금, 수시입출금식 예금(이상 M1) 외 머니마켓펀드(MMF), 2년 미만 정기 예금·적금, 수익증권, 양도성예금증서(CD), 환매조건부채권(RP), 2년 미만 금융채, 2년 미만 금전신탁 등 곧바로 현금화할 수 있는 단기 금융상품이 포함된다. 



통화·유동성 지표 추이[한국은행 제공.재판매 및 DB 금지]    이들 금융상품 가운데 수시입출금식 예금과 정기 예·적금, MMF가 한 달 사이 각 18조6천억원, 12조9천억원, 10조7천억원 불었다. 반대로 CD를 중심으로 시장형 상품에서는 4조9천억원이 빠져나갔다.    한은 관계자는 ""투자 대기자금 유입 등으로 수시입출식 저축성예금이 늘었고, 은행의 투자 대기자금 유치 활동의 결과 정기 예·적금도 증가했다""며 ""MMF에는 국고 여유자금과 청약증거금 등이 유입됐다""고 설명했다.    경제주체별로는 가계·비영리단체와 기업에서 통화량이 정기 예·적금과 수시입출식 예금을 중심으로 각 35조6천억원, 7조5천억원 증가했다. 반대로 증권사 등 기타금융기관에서는 통화량이 정기 예·적금 위주로 6천억원 감소했다.     현금·요구불예금·수시입출금식예금만 포함하는 좁은 의미의 통화량 M1(1천244조8천억원) 규모 역시 현금 통화, 요구불 예금 등을 중심으로 전월보다 2.2%(27조2천억원) 커졌다.    shk999@yna.co.kr",0,3,2
"""한국, AI·사물인터넷·빅데이터 분석 도입률 OECD 1위""","OECD 디지털경제전망보고서…클라우드 컴퓨팅 도입률 5위



국제기구 로고 경제협력개발기구 OECD편집 김민준    (서울=연합뉴스) 이정현 기자 = 우리나라가 사물인터넷, 빅데이터 분석, 인공지능(AI) 기술 도입률이 경제협력개발기구(OECD) 회원국 중 가장 높다는 평가가 나왔다.    과학기술정보통신부는 OECD가 최근 발간한 '디지털경제전망보고서 2024 1권'에서 국내 기업의 디지털 신기술 도입률이 이처럼 높은 평가를 받았다고 16일 밝혔다.    해당 보고서는 OECD 디지털정책위원회가 주도해 회원국의 통계자료와 설문 응답을 바탕으로 디지털 분야의 글로벌 동향을 분석해 주요 통계와 정책적 시사점을 제공하는 것으로, 올해부터 상·하반기에 발간된다.    보고서에 따르면 OECD 회원국 내 기업들은 클라우드 컴퓨팅(49%)과 사물인터넷(27%) 기술을 주로 도입하고 있으나, 빅데이터 분석(14%)과 인공지능(8%)은 비용상의 문제 등으로 인해 상대적으로 도입이 느린 편이며, 소규모 기업일수록 이러한 추세가 강하게 나타났다.    우리나라 기업들의 디지털 기술 도입률은 다른 OECD 회원국에 비해 두드러지는 성과를 보였다.     사물인터넷(53%), 빅데이터 분석(40%), 인공지능 기술(28%) 도입률에서 각각 OECD 1위를 차지하였으며, 클라우드 컴퓨팅 도입률(70%) 또한 5위를 차지하는 등 산업 전반적으로 매우 신속하게 디지털 신기술을 적용하고 있는 국가로 평가됐다.    또한 이 보고서에 따르면 2011~2022년 OECD 회원국의 ICT(정보통신기술) 부문 경제는 전체 경제에 비해 2.5배 빠른 평균 5.3%의 성장률을 보였다.    OECD 회원국들은 인공지능, 메타버스 등 새로운 기술에 대한 중요성을 인식하고 진흥을 위해 범국가적인 노력을 기울이는 것으로 나타났다.     AI 인력에 대한 수요도 많아지면서 각국은 고급 인재를 확보하기 위해 경쟁 중이기도 하다. 우리나라의 경우 'AI 전문인력 국가(링크드인 회원 10만명 이상) 간 이동' 지수는 2019년 -0.4에서 2022년에는 0.24로 집계돼 전출보다 전입 인력이 늘어난 것으로 파악됐다.    아울러 새로운 기술의 위험성을 최소화하기 위한 관리 방안도 함께 추진하는 것으로 알려졌다.     미국의 2020 AI 이니셔티브법, 유럽의 호라이즌 유럽(연구·개발 프로그램), G7의 생성형 AI에 대한 히로시마 프로세스 등이 사례로 언급됐다.     특히 우리나라의 '인공지능 지역확산 추진 방향'. 'K-클라우드 프로젝트', '메타버스 신산업 선도전략', '메타버스 윤리 원칙' 등 이번 정부에서 역점을 두고 추진한 디지털 신기술 분야별 주요 정책도 소개됐다.    이종호 과기정통부 장관은 ""이번 보고서를 통해 OECD 국가들의 정책 동향을 파악하고, 우리나라 디지털 분야의 강점과 약점을 확인해 디지털 모범국가로서 국민이 체감하는 성과를 창출하는 데 활용해나갈 것""이라고 밝혔다.    lisa@yna.co.kr",0,3,2
